"","DBN","TotalEnrollment","ENI","PercentBlack","PercentSWD","PercentPoverty","self_contained","AllStudents_CA","AllStudents_PA","SWD_CA","SWD_PA","gifted","gifted_only","treatment"
"147","07X369",261,0.96,0.192,0.337,0.977,1,36.1,92.2,36.4,91.4,0,0,0
"148","08X014",547,0.522,0.055,0.219,0.686,1,23.8,93.2,26.5,92.3,0,0,0
"149","08X036",760,0.846,0.092,0.193,0.792,1,12.8,94.8,19.2,94.6,0,0,0
"150","08X048",697,0.954,0.25,0.296,0.931,1,35.8,90,28.6,90.4,0,0,0
"151","08X062",708,0.934,0.199,0.298,0.984,1,37.9,90.5,39.2,90,0,0,0
"152","08X069",621,0.82,0.156,0.233,0.892,1,20.4,93.8,34.8,92.5,0,0,0
"153","08X071",1646,0.61,0.05,0.208,0.735,1,25.1,92.8,30.4,91.6,0,0,0
"154","08X072",828,0.812,0.21,0.29,0.876,1,38.3,90.3,50,88.8,1,0,0
"155","08X075",632,0.952,0.241,0.214,0.91,1,34.6,92,58.1,88.6,0,0,0
"156","08X093",340,0.766,0.479,0.25,0.753,1,36.4,91.5,60,88,0,0,0
"157","08X100",574,0.908,0.274,0.289,0.829,1,43.5,89.8,55.2,88.6,0,0,0
"158","08X107",514,0.968,0.335,0.36,0.99,1,48.4,87.5,50,86.9,0,0,0
"159","08X119",888,0.89,0.093,0.173,0.843,1,19.6,93.4,21.4,92.6,0,0,0
"160","08X130",489,0.93,0.219,0.299,0.877,1,35.9,90.5,23.1,90.8,0,0,0
"161","08X138",724,0.89,0.287,0.21,0.912,1,35.2,90.8,34.8,90.9,0,0,0
"162","08X140",638,0.937,0.356,0.229,0.926,1,45,89.6,54.8,87.7,0,0,0
"163","08X146",408,0.93,0.419,0.262,0.978,1,29.1,92.4,27.3,90.6,0,0,0
"164","08X152",833,0.956,0.158,0.24,0.922,1,23.9,93.1,30.8,90.9,0,0,0
"165","08X182",879,0.832,0.241,0.197,0.865,0,26.7,92.4,48.1,89.3,1,1,1
"166","08X304",507,0.408,0.071,0.205,0.653,1,15.3,94.8,22.7,94.5,0,0,0
"167","08X333",632,0.944,0.206,0.328,0.968,1,38.6,91.1,56.1,88.4,0,0,0
"168","08X392",281,0.594,0.1,0.192,0.747,1,19.4,93.7,50,87.7,0,0,0
"169","09X004",571,0.959,0.545,0.264,0.939,1,54.3,88.3,55,87.4,0,0,0
"170","09X011",597,0.951,0.263,0.246,0.938,1,26.5,92.2,51.9,88,0,0,0
"171","09X028",720,0.945,0.188,0.253,0.957,1,34.9,91.3,40,90.1,0,0,0
"172","09X035",661,0.905,0.269,0.225,0.912,1,28.8,93.1,28,93.7,0,0,0
"173","09X042",439,0.968,0.408,0.292,0.998,1,29.3,92.2,37.5,90.1,0,0,0
"174","09X053",1143,0.961,0.297,0.156,0.926,1,40.6,90.3,48.4,86.9,0,0,0
"175","09X055",642,0.979,0.503,0.213,0.977,0,33.3,92.5,54.2,89.5,0,0,1
"176","09X058",471,0.969,0.251,0.285,0.964,1,54.3,87.5,55.2,87.2,0,0,0
"177","09X063",589,0.942,0.367,0.216,0.958,1,36,91.4,30.19986,91.86482,0,0,0
"178","09X070",1227,0.953,0.249,0.21,0.968,1,43.6,90,57.4,87.3,0,0,0
"179","09X073",706,0.948,0.224,0.205,0.95,1,46.3,88.2,52.9,85.2,0,0,0
"180","09X088",142,0.953,0.197,0.183,0.923,1,17.4,94.1,30.19986,91.86482,0,0,0
"181","09X109",661,0.912,0.174,0.2,0.93,1,48.4,89.1,64,87.4,0,0,0
"182","09X110",458,0.945,0.384,0.247,0.976,1,32.9,92.7,21.4,93.2,0,0,0
"183","09X114",753,0.942,0.228,0.208,0.951,1,33.8,91.9,34.5,91.8,0,0,0
"184","09X126",571,0.951,0.222,0.177,0.97,1,30.9,92.5,40,90.5,0,0,0
"185","09X132",370,0.973,0.449,0.289,0.949,1,43.2,89.5,47.8,87.8,0,0,0
"186","09X163",481,0.968,0.364,0.27,0.996,1,30.1,93.1,50,89.4,0,0,0
"187","09X199",749,0.952,0.258,0.21,0.976,1,32.4,91.6,58.8,86.2,0,0,0
"188","09X204",630,0.922,0.265,0.237,0.868,1,24.8,93,37.5,90.3,1,0,0
"189","09X218",1009,0.927,0.044,0.186,0.881,0,20.5,94.4,39.3,91.4,0,0,1
"190","09X236",291,0.931,0.237,0.278,0.979,0,14.3,93.8,15.8,93.3,0,0,1
"191","09X274",797,0.965,0.366,0.29,0.945,1,48.1,88.9,52.3,88,0,0,0
"192","09X294",515,0.971,0.179,0.225,0.967,1,24.4,93.6,26.9,93,0,0,0
"193","09X311",402,0.962,0.08,0.229,0.98,1,28.7,92.4,41.7,89,0,0,0
"194","09X443",554,0.966,0.271,0.28,0.973,1,31.9,91.8,47.2,88.9,0,0,0
"195","09X449",439,0.921,0.264,0.314,0.954,1,12.7,94.6,14.3,93.4,0,0,0
"196","09X457",477,0.941,0.281,0.273,0.977,1,31.4,91.9,45,89.8,0,0,0
"197","09X555",432,0.888,0.199,0.164,0.914,1,11.6,94.9,18.8,93.2,0,0,0
"198","10X003",348,0.916,0.29,0.216,0.948,1,29,93.1,30.19986,91.86482,0,0,0
"199","10X007",758,0.77,0.062,0.136,0.826,1,12.6,95,26.1,93.6,1,0,0
"200","10X008",1001,0.868,0.08,0.255,0.876,1,28.3,92.4,41.7,91,0,0,0
"201","10X009",850,0.959,0.155,0.22,0.931,1,32.6,91,45.5,88.3,0,0,0
"202","10X015",480,0.878,0.115,0.194,0.798,1,14.9,94.6,0,96.1,0,0,0
"203","10X020",1072,0.88,0.109,0.263,0.95,1,31,91.8,52.9,88.4,0,0,0
"204","10X023",488,0.957,0.348,0.258,0.93,1,42.9,90.8,57.9,88.5,0,0,0
"205","10X024",915,0.275,0.063,0.138,0.281,1,12.3,95.3,24,93.7,1,0,0
"206","10X032",819,0.954,0.217,0.244,0.988,1,38.4,91.3,40.5,90.9,0,0,0
"207","10X033",919,0.959,0.107,0.209,0.922,1,35.1,91.7,47.1,89.1,0,0,0
"208","10X037",646,0.869,0.215,0.297,0.865,1,43.6,89.9,48.5,89.2,0,0,0
"209","10X046",921,0.951,0.127,0.25,0.925,1,37.2,91.3,47.6,90.3,0,0,0
"210","10X051",217,0.837,0.355,0.157,0.894,0,18.4,93.6,30.19986,91.86482,0,0,1
"211","10X054",485,0.948,0.233,0.198,0.973,1,33.8,92.4,31.3,93.4,0,0,0
"212","10X056",704,0.901,0.074,0.266,0.859,1,23.3,92.9,26.9,91.9,0,0,0
"213","10X059",575,0.974,0.303,0.306,1,1,33.3,92,46.7,89.9,0,0,0
"214","10X077",358,0.879,0.075,0.154,0.872,1,27.6,92.9,47.1,91.3,0,0,0
"215","10X081",725,0.414,0.08,0.185,0.486,1,23.6,93.1,33.3,93.4,0,0,0
"216","10X085",953,0.958,0.271,0.218,0.962,1,28.1,91.9,35.3,90.3,0,0,0
"217","10X086",1669,0.926,0.065,0.209,0.887,1,21.9,93.5,35.8,91.5,0,0,0
"218","10X091",727,0.949,0.169,0.22,0.945,1,27.7,92.1,30.3,91.5,0,0,0
"219","10X094",1261,0.913,0.174,0.231,0.942,1,37,91.4,46.2,90.6,0,0,0
"220","10X095",1288,0.859,0.17,0.203,0.824,1,33.6,91,43.8,90.3,0,0,0
"221","10X159",193,0.931,0.13,0.145,0.865,0,25,92.7,30.19986,91.86482,0,0,1
"222","10X205",1019,0.953,0.122,0.223,0.908,1,31.9,92.1,31.1,91.8,0,0,0
"223","10X207",308,0.881,0.075,0.198,0.86,0,23.1,93.2,30.19986,91.86482,0,0,1
"224","10X226",478,0.939,0.218,0.167,0.967,1,26.7,92.2,44.4,91.8,0,0,0
"225","10X246",736,0.948,0.083,0.22,0.938,1,29,91.9,54.8,88.6,0,0,0
"226","10X279",1092,0.956,0.161,0.205,0.954,1,24.2,93.5,33.3,91.8,0,0,0
"227","10X280",876,0.886,0.079,0.29,0.961,1,27.4,92.1,26.9,91.2,0,0,0
"228","10X291",638,0.956,0.094,0.182,0.989,1,33.3,90.4,59.1,87.2,0,0,0
"229","10X306",692,0.953,0.259,0.218,0.902,1,24.4,92.9,30.4,91.9,0,0,0
"230","10X307",385,0.905,0.06,0.216,0.87,1,17.6,95.1,11.8,94.5,0,0,0
"231","10X310",749,0.885,0.116,0.156,0.959,1,19.1,93.8,15,94.4,0,0,0
"232","10X315",249,0.944,0.133,0.221,0.98,1,23.1,92.6,14.3,93.2,0,0,0
"233","10X340",646,0.919,0.093,0.272,0.882,1,26.5,92.1,32,91.4,0,0,0
"234","10X344",395,0.497,0.137,0.205,0.539,1,12.9,94.7,20,93.6,0,0,0
"235","10X360",490,0.887,0.112,0.229,0.945,1,32.5,91.7,30.19986,91.86482,0,0,0
"236","10X382",273,0.965,0.223,0.161,0.971,0,35.7,90.1,35.7,88.9,0,0,1
"237","10X386",598,0.97,0.129,0.181,0.995,1,18.5,93.6,26.3,91.3,0,0,0
"238","10X396",339,0.928,0.18,0.345,0.926,0,23.1,93.5,19,93.4,0,0,1
"239","11X016",356,0.851,0.472,0.281,0.972,1,41.4,89.5,60.9,85.4,0,0,0
"240","11X019",511,0.446,0.068,0.166,0.605,0,7.7,95.4,10,94.2,0,0,1
"241","11X021",707,0.882,0.648,0.207,0.917,1,40.3,90.9,33.3,90.4,0,0,0
"242","11X041",920,0.911,0.493,0.193,0.986,1,40.7,90.1,50,88.3,0,0,0
"243","11X068",681,0.742,0.765,0.253,0.709,1,23.2,93.3,35.7,89.9,0,0,0
"244","11X076",956,0.835,0.453,0.169,0.789,1,31.8,91.5,45.5,88.4,0,0,0
"245","11X078",824,0.826,0.72,0.167,0.847,1,40.1,90.1,51.6,88.1,0,0,0
"246","11X083",1698,0.718,0.067,0.201,0.657,1,10.4,95.1,19,93.2,0,0,0
"247","11X087",594,0.739,0.699,0.221,0.852,1,23,93.1,25,93,0,0,0
"248","11X089",1548,0.845,0.189,0.178,0.79,1,35.1,91.3,33.3,91.9,0,0,0
"249","11X096",952,0.867,0.208,0.212,0.827,1,37,90.5,44.8,88.4,0,0,0
"250","11X097",659,0.658,0.27,0.214,0.804,1,18.8,93.9,26.9,92.2,0,0,0
"251","11X103",1129,0.884,0.493,0.224,0.898,1,37.9,90.5,40,90.2,0,0,0
"252","11X105",1101,0.876,0.114,0.198,0.919,1,27.6,92.3,30.8,92.7,0,0,0
"253","11X106",1100,0.795,0.265,0.188,0.765,1,26.9,93.2,37.8,91.9,0,0,0
"254","11X108",614,0.614,0.059,0.16,0.782,1,18.3,94.2,30.8,92.7,0,0,0
"255","11X111",677,0.87,0.607,0.291,0.926,1,28.7,91.9,51.4,88.6,0,0,0
"256","11X112",432,0.924,0.486,0.238,0.975,1,40,90.8,33.3,91.4,0,0,0
"257","11X121",917,0.753,0.559,0.188,0.695,1,29.8,91.9,50,89,1,0,0
"258","11X153",649,0.507,0.581,0.123,0.656,1,11,95.8,8.3,94.8,1,0,0
"259","11X160",410,0.581,0.624,0.237,0.724,1,13.3,95.3,10,96.3,0,0,0
"260","11X169",409,0.719,0.733,0.178,0.856,1,18.1,93.3,33.3,91.6,0,0,0
"261","11X175",332,0.376,0.09,0.187,0.527,0,16.2,95.1,22.2,94.6,0,0,1
"262","11X178",435,0.599,0.591,0.232,0.809,1,13.5,94.5,18.8,93.7,0,0,0
"263","11X189",373,0.809,0.493,0.204,0.887,1,28.6,92.6,38.9,91.2,0,0,0
"264","11X194",1326,0.85,0.06,0.15,0.82,1,21,93.6,38.9,90.7,0,0,0
"265","11X357",347,0.797,0.078,0.124,0.865,0,21.4,93.4,45.5,91.3,0,0,1
"266","11X498",636,0.71,0.119,0.217,0.766,1,8.2,95.6,11.1,94.8,0,0,0
"267","11X567",407,0.834,0.15,0.248,0.786,0,16.7,93.8,22.2,93.4,0,0,1
"268","12X006",529,0.965,0.212,0.24,0.991,1,48.8,88,52,88.9,0,0,0
